run,n_bad,n_low,n_low_layer,n_hot,n_hot_layer,n_outlier,gain,run_ok,n_wires
21317,138,89,5,32,12,0,0.015619232868902119,False,574
21322,141,91,5,34,11,0,0.01805038837036995,False,574
21323,149,94,8,35,12,0,0.018607452457290678,False,574
21325,150,99,8,36,7,0,0.020780640667566744,False,574
21326,149,98,8,37,6,0,0.018735162663091446,False,574
21327,149,100,7,37,5,0,0.019358790226633272,False,574
21328,148,99,7,36,6,0,0.01887991962250453,False,574
21329,149,98,9,36,6,0,0.019658389882275674,False,574
21331,148,99,7,37,5,0,0.01865799243393181,False,574
21333,150,100,7,35,8,0,0.02011344191598843,False,574
21334,148,99,7,36,6,0,0.018944622357754185,False,574
21335,148,98,8,37,5,0,0.018486793273229423,False,574
21336,148,98,8,36,6,0,0.019261698893187358,False,574
21339,324,104,4,15,7,194,0.017672669195410537,False,574
21340,309,113,7,36,4,149,0.01662164308444087,False,574
21341,284,112,9,37,6,120,0.016450790885241904,False,574
21342,285,108,10,36,4,127,0.016534952424142872,False,574
21343,325,98,10,29,1,187,0.017855716348177824,False,574
21344,342,121,8,21,8,184,0.01696555341400696,False,574
21345,138,95,4,26,13,0,0.01258237763991991,False,574
21346,130,94,3,24,9,0,0.011231547619052646,False,574
21347,128,95,2,22,9,0,0.010466395430532311,False,574
21348,127,96,2,21,8,0,0.009947688475890264,False,574
21349,145,92,5,31,10,7,0.005741926616606978,False,574
21350,135,93,4,29,9,0,0.007064759844563995,False,574
21351,128,95,3,21,9,0,0.009371733671610646,False,574
21352,117,93,3,17,4,0,0.01226191796468555,False,574
21353,111,89,4,15,3,0,0.014173078877673169,False,574
21354,113,91,2,16,4,0,0.013410876346670401,False,574
21355,107,87,4,14,2,0,0.014548491538206865,False,574
21356,106,87,3,12,4,0,0.015168010622061995,False,574
21357,98,81,3,10,4,0,0.01614183555821443,False,574
21358,90,78,2,8,2,0,0.016346292069058903,False,574
21380,3,1,0,1,0,1,0.4727429433821182,True,13
21383,1,1,0,0,0,0,0.8602981931650912,True,5
21385,18,9,4,5,0,0,0.03217284217807308,False,575
21386,17,10,2,5,0,0,0.031923712821112185,False,575
21387,18,9,4,5,0,0,0.03134805270633018,False,575
21388,17,9,3,5,0,0,0.030480039804477957,False,575
21389,17,9,3,5,0,0,0.030458548895656957,False,575
21390,18,11,2,5,0,0,0.033001734394649054,False,575
21391,18,11,2,5,0,0,0.030707909468992094,False,575
21392,18,9,4,5,0,0,0.029902787139355486,False,575
21393,17,10,2,5,0,0,0.028953745617169787,False,575
21394,18,10,1,6,0,1,0.03314078560660963,False,576
21395,22,11,2,9,0,0,0.028769438509035995,False,575
21397,17,9,3,5,0,0,0.028698077475393657,False,575
21398,17,10,2,5,0,0,0.028006722487717805,False,575
21399,17,10,2,5,0,0,0.028106479300746914,False,575
21400,17,11,1,5,0,0,0.02775965652144548,False,575
21401,17,11,1,5,0,0,0.02761448884373187,False,575
21402,17,11,1,5,0,0,0.027654967066438753,False,575
21403,17,10,2,5,0,0,0.027751440201261593,False,575
21404,18,11,2,5,0,0,0.028421527883251765,False,575
21405,17,11,1,5,0,0,0.0274119490391372,False,575
21406,17,9,3,5,0,0,0.031623850459169454,False,575
21407,26,18,3,5,0,0,0.027501476992563834,False,575
21414,26,18,3,5,0,0,0.028191059222122183,False,575
21415,25,17,3,5,0,0,0.049679570017499355,False,575
21416,18,9,4,5,0,0,0.060804034492326464,False,576
21418,9,4,0,5,0,0,0.055102128186741456,False,576
21422,9,4,0,5,0,0,0.05669871573038256,False,576
21423,9,4,0,5,0,0,0.05550084154495666,False,576
21424,9,3,0,5,0,1,0.07298272266096548,False,576
21425,19,11,4,4,0,0,0.05172391464253561,False,576
21426,9,4,0,5,0,0,0.07116128227380325,False,576
21427,9,3,0,5,0,1,0.09710465761219418,False,576
21428,17,10,3,4,0,0,0.06793755396482284,False,576
21429,7,3,0,4,0,0,0.08293612548968135,False,576
21430,9,2,1,5,0,1,0.12238299491462774,True,576
21432,27,18,4,5,0,0,0.05299966246373461,False,574
21433,9,4,0,5,0,0,0.09123690224069858,False,576
21434,9,4,1,4,0,0,0.08288520616621953,False,575
21435,10,4,1,4,0,1,0.06737655334863307,False,575
21458,29,18,1,7,0,3,0.28351698636611067,True,576
21459,29,18,0,7,0,4,0.30744629420563974,True,576
21460,28,20,0,6,0,2,0.293663815805015,True,576
21464,33,26,1,4,0,2,0.1285738670356421,True,576
21465,48,29,1,15,0,3,0.20298652299073194,True,576
