run,layer_number,layer_code,wire,value,lay_med,rel_to_layer,own_norm,cv,robust_z,status
22603,1,11,19,0.569875053,2.159612952,0.26387832711979403,1.0327182400288422,0.25551822064498864,-0.009221182641444559,low/dead
22603,1,11,20,0.618840483,2.159612952,0.2865515704686328,1.0236181665178086,0.27993990321941736,-0.021765641605157038,low/dead
22603,1,11,46,0.495934959,2.159612952,0.229640667111539,0.9598987865855881,0.23923425086136765,-0.03926221930454388,low/dead
22603,2,21,21,0.534395644,1.6170354425,0.3304786215284208,1.0764885468470338,0.306996876554211,0.2586729076536698,low/dead
22603,2,21,22,0.455950347,1.6170354425,0.28196682337097256,0.9736246081054671,0.28960527602074404,0.26356162216260803,low/dead
22603,2,21,23,0.462090444,1.6170354425,0.2857639553562228,0.9953683670719614,0.28709366784162943,0.2384241616488736,low/dead
22603,2,21,24,0.426670218,1.6170354425,0.2638595338023953,1.0078488697430183,0.26180466310358047,0.23672211781935681,low/dead
22603,2,21,54,0.530252928,1.6170354425,0.3279167011826335,0.9577190041116297,0.34239343667071287,0.20065257549640725,low/dead
22603,2,21,55,0.388276112,1.6170354425,0.2401160183599377,0.9619479106576336,0.2496143665365237,0.0,low/dead
22603,3,22,56,0.435887762,1.5337002595,0.28420661684057047,0.9576618693166226,0.29677136152802797,0.0,low/dead
22603,5,32,5,0.413953557,1.2795076085,0.32352567053922293,0.9791506106467622,0.33041461346331924,0.32068016850662073,low/dead
22603,6,41,61,0.682623523,1.199486599,0.5690964147236796,1.4024040559084483,0.40580060527208806,0.394803767788644,low/dead
22603,8,51,80,0.36849464,0.702693506,0.5244030816473775,1.1052607748033987,0.47446095401391325,0.25232120593004725,low/dead
