layer_number,wire,run_start,run_end,n_runs,status
1,1,21632,21632,1,outlier
1,1,21697,21697,1,outlier
1,2,21632,21632,1,outlier
1,2,21697,21697,1,outlier
1,4,21458,21569,60,low/dead
1,4,21677,21677,1,low/dead
1,4,21697,21697,1,low/dead
1,4,21781,21794,7,low/dead
1,4,21797,21840,13,low/dead
1,4,21886,21886,1,low/dead
1,4,22734,22736,3,low/dead
1,5,21458,21569,60,low/dead
1,5,21662,21662,1,low/dead
1,5,21676,21679,4,low/dead
1,5,21695,21695,1,low/dead
1,5,21697,21697,1,low/dead
1,5,21711,21711,1,low/dead
1,5,21726,21726,1,low/dead
1,5,21732,21739,7,low/dead
1,5,21741,21741,1,low/dead
1,5,21744,21744,1,low/dead
1,5,21749,21840,36,low/dead
1,5,21861,21861,1,low/dead
1,5,21886,21886,1,low/dead
1,5,22732,22736,4,hot
1,6,22133,22133,1,low/dead
1,9,21458,21459,2,outlier
1,9,21494,21648,54,low/dead
1,9,21676,21677,2,low/dead
1,9,21695,21695,1,low/dead
1,9,21697,21697,1,low/dead
1,9,21744,21744,1,low/dead
1,9,21781,21807,16,low/dead
1,9,22806,22812,4,low/dead
1,10,21494,21525,23,low/dead
1,10,21552,21648,27,low/dead
1,10,21662,21679,13,low/dead
1,10,21687,21807,68,low/dead
1,10,22732,22812,5,low/dead
1,15,22014,22014,1,low/dead
1,15,22018,22018,1,low/dead
1,15,22025,22027,3,low/dead
1,15,22050,22052,3,low/dead
1,15,22055,22055,1,low/dead
1,15,22061,22133,50,low/dead
1,15,22736,22812,12,low/dead
1,16,22006,22019,10,low/dead
1,16,22022,22027,4,low/dead
1,16,22031,22031,1,low/dead
1,16,22033,22033,1,low/dead
1,16,22037,22046,10,low/dead
1,16,22050,22056,6,low/dead
1,16,22061,22129,49,low/dead
1,16,22734,22812,14,low/dead
1,19,22543,22812,134,low/dead
1,20,21552,21562,7,low/dead
1,20,21651,21652,2,low/dead
1,20,21655,21657,2,low/dead
1,20,21671,21676,4,low/dead
1,20,21678,21689,9,low/dead
1,20,21692,21693,2,low/dead
1,20,21700,21712,5,low/dead
1,20,21729,21795,33,low/dead
1,20,22543,22708,118,low/dead
1,20,23055,23055,1,outlier
1,21,21552,21563,8,low/dead
1,21,21655,21747,61,low/dead
1,21,21783,21836,10,low/dead
1,21,22796,22812,11,low/dead
1,21,23055,23055,1,outlier
1,25,21914,22129,163,low/dead
1,25,23055,23055,1,outlier
1,26,23055,23055,1,outlier
1,30,21604,21604,1,outlier
1,30,21813,21813,1,low/dead
1,30,22735,22736,2,low/dead
1,31,21697,21697,1,low/dead
1,31,21813,21813,1,low/dead
1,31,22734,22736,3,low/dead
1,37,21850,21850,1,hot
1,38,21843,21909,40,hot
1,41,21542,21909,181,low/dead
1,41,22732,22812,16,low/dead
1,42,21567,21851,128,low/dead
1,42,22732,22812,16,low/dead
1,43,22050,22050,1,outlier
1,43,22055,22055,1,outlier
1,46,21430,23061,837,always low
1,47,21430,21430,1,hot
1,47,21551,21652,62,low/dead
2,1,21551,21807,110,low/dead
2,5,21458,21569,60,low/dead
2,5,21813,21840,5,outlier
2,5,21886,21886,1,low/dead
2,5,22732,22736,4,low/dead
2,6,21458,21569,61,low/dead
2,6,21813,21840,5,outlier
2,6,21886,21886,1,low/dead
2,6,22732,22736,4,low/dead
2,7,21458,21569,60,low/dead
2,7,21813,21840,5,outlier
2,7,21886,21886,1,low/dead
2,7,22732,22736,4,hot
2,11,21494,21494,1,low/dead
2,11,21582,21649,21,low/dead
2,11,21676,21677,2,low/dead
2,11,21691,21697,7,low/dead
2,11,21705,21711,3,low/dead
2,11,21726,21726,1,low/dead
2,11,21732,21739,7,low/dead
2,11,21741,21741,1,low/dead
2,11,21744,21744,1,low/dead
2,11,21749,21766,9,low/dead
2,11,21769,21769,1,low/dead
2,11,21774,21807,17,low/dead
2,11,22732,22812,6,low/dead
2,12,21513,21516,3,low/dead
2,12,21563,21652,52,low/dead
2,12,21654,21654,1,low/dead
2,12,21660,21660,1,low/dead
2,12,21662,21668,4,low/dead
2,12,21670,21671,2,low/dead
2,12,21676,21677,2,low/dead
2,12,21687,21807,68,low/dead
2,12,22734,22812,5,low/dead
2,13,21781,21807,15,low/dead
2,13,21865,21901,16,low/dead
2,13,22734,22812,5,low/dead
2,17,21813,21813,1,outlier
2,17,22050,22052,3,low/dead
2,17,22055,22055,1,low/dead
2,17,22061,22112,35,low/dead
2,17,22116,22117,2,low/dead
2,17,22120,22129,7,low/dead
2,17,22735,22812,14,low/dead
2,18,22050,22052,3,low/dead
2,18,22055,22055,1,low/dead
2,18,22060,22060,1,outlier
2,18,22065,22086,17,low/dead
2,18,22089,22091,2,low/dead
2,18,22093,22093,1,low/dead
2,18,22097,22097,1,low/dead
2,18,22100,22100,1,low/dead
2,18,22103,22103,1,low/dead
2,18,22734,22812,15,low/dead
2,19,21813,21813,1,outlier
2,19,22006,22046,33,low/dead
2,19,22050,22129,59,low/dead
2,19,22735,22812,14,low/dead
2,21,22543,22812,134,low/dead
2,22,22543,22812,134,low/dead
2,23,22543,22812,134,low/dead
2,23,23055,23055,1,outlier
2,24,21563,21565,3,outlier
2,24,21568,21571,3,outlier
2,24,21654,21654,1,outlier
2,24,21657,21657,1,outlier
2,24,21682,21682,1,low/dead
2,24,21731,21732,2,low/dead
2,24,21738,21738,1,low/dead
2,24,21746,21746,1,low/dead
2,24,21783,21949,37,hot
2,24,21951,21975,21,hot
2,24,21977,21992,11,hot
2,24,21996,22047,41,hot
2,24,22051,22054,3,hot
2,24,22056,22133,55,hot
2,24,22138,22497,249,hot
2,24,22499,22542,25,hot
2,24,22545,22547,3,low/dead
2,24,22613,22708,65,low/dead
2,24,22795,22823,13,low/dead
2,24,22825,22825,1,hot
2,24,22827,22836,7,hot
2,24,22838,22841,4,hot
2,24,22850,22850,1,hot
2,24,22853,22853,1,hot
2,24,22858,22858,1,hot
2,24,22864,22864,1,hot
2,24,22870,22870,1,hot
2,24,22874,22874,1,hot
2,24,22877,22877,1,hot
2,24,22879,22879,1,hot
2,24,22886,22886,1,hot
2,24,22892,22892,1,hot
2,24,22894,22895,2,hot
2,24,22916,22916,1,hot
2,24,22928,22929,2,hot
2,24,22931,22932,2,hot
2,24,22935,22935,1,hot
2,24,22941,22943,2,hot
2,24,22975,22975,1,hot
2,24,22995,22995,1,hot
2,24,23002,23003,2,hot
2,24,23007,23012,5,hot
2,24,23016,23022,4,hot
2,24,23024,23024,1,hot
2,24,23028,23028,1,hot
2,24,23032,23038,4,hot
2,24,23044,23045,2,hot
2,24,23048,23048,1,hot
2,24,23050,23050,1,hot
2,24,23053,23053,1,hot
2,24,23055,23061,5,hot
2,25,21563,21654,10,low/dead
2,25,21657,21657,1,low/dead
2,25,21680,21680,1,low/dead
2,25,21682,21682,1,low/dead
2,25,21729,21836,44,low/dead
2,25,22736,22812,11,low/dead
2,25,23055,23055,1,outlier
2,26,21552,21563,8,low/dead
2,26,21580,21580,1,low/dead
2,26,21582,21582,1,low/dead
2,26,21589,21606,13,low/dead
2,26,21628,21642,10,low/dead
2,26,21651,21654,4,low/dead
2,26,21657,21657,1,low/dead
2,26,21671,21671,1,outlier
2,26,21675,21675,1,outlier
2,26,21678,21680,3,outlier
2,26,21682,21685,3,low/dead
2,26,21700,21700,1,low/dead
2,26,21756,21836,6,low/dead
2,26,22795,22795,1,hot
2,26,23055,23055,1,outlier
2,29,23055,23055,1,outlier
2,30,21813,21909,24,low/dead
2,30,23055,23055,1,outlier
2,31,21813,21909,45,hot
2,31,22735,22812,14,hot
2,31,23055,23055,1,outlier
2,32,21586,21587,2,hot
2,32,21590,21590,1,hot
2,32,21604,21604,1,hot
2,32,21626,21626,1,hot
2,32,22736,22812,13,hot
2,32,23055,23055,1,outlier
2,34,21813,21834,3,low/dead
2,34,21840,21840,1,low/dead
2,36,21604,21604,1,outlier
2,36,21797,21909,53,low/dead
2,36,22735,22736,2,low/dead
2,37,22734,22736,3,low/dead
2,38,21604,21604,1,outlier
2,38,21813,21813,1,low/dead
2,38,22734,22736,3,low/dead
2,40,21843,21909,40,hot
2,48,21552,21562,7,hot
2,48,21632,21632,1,hot
2,48,21676,21677,2,hot
2,48,21697,21697,1,hot
2,49,21465,21909,230,low/dead
2,49,22734,22796,5,hot
2,49,22800,22800,1,hot
2,49,22811,22811,1,hot
2,50,21465,21468,2,low/dead
2,50,21489,21909,215,low/dead
2,50,22734,22736,3,low/dead
2,51,21464,21909,229,low/dead
2,51,22732,22812,16,low/dead
2,54,21430,23061,831,always low
2,55,21430,23061,823,always low
2,56,21551,21652,62,low/dead
3,1,21632,21632,1,outlier
3,1,21697,21697,1,outlier
3,2,21632,21632,1,outlier
3,4,21458,21626,76,low/dead
3,4,21813,21840,5,outlier
3,4,21886,21886,1,low/dead
3,4,22735,22736,2,low/dead
3,5,21430,21626,91,low/dead
3,5,21781,21782,2,low/dead
3,5,21813,21840,5,outlier
3,5,21861,21861,1,low/dead
3,5,21886,21886,1,low/dead
3,5,22732,22736,4,low/dead
3,6,21458,21582,63,low/dead
3,6,21813,21840,5,outlier
3,6,21861,21861,1,low/dead
3,6,21886,21886,1,low/dead
3,6,22732,22736,4,low/dead
3,9,21843,21860,11,hot
3,9,21862,21888,15,hot
3,9,21895,21898,4,hot
3,9,21902,21909,6,hot
3,10,21458,21652,108,low/dead
3,10,21677,21677,1,low/dead
3,10,21695,21695,1,low/dead
3,10,21697,21697,1,low/dead
3,10,21744,21744,1,low/dead
3,10,21781,21813,17,low/dead
3,10,22732,22812,16,low/dead
3,11,21460,21652,105,low/dead
3,11,21677,21677,1,low/dead
3,11,21697,21697,1,low/dead
3,11,21781,21807,16,low/dead
3,11,22732,22812,13,low/dead
3,12,21458,21652,109,low/dead
3,12,21676,21677,2,low/dead
3,12,21694,21697,4,low/dead
3,12,21709,21711,2,low/dead
3,12,21732,21739,7,low/dead
3,12,21741,21741,1,low/dead
3,12,21744,21744,1,low/dead
3,12,21749,21764,8,low/dead
3,12,21769,21769,1,low/dead
3,12,21774,21807,17,low/dead
3,12,22734,22812,15,low/dead
3,13,21468,21652,103,low/dead
3,13,21677,21677,1,low/dead
3,13,21695,21695,1,low/dead
3,13,21697,21697,1,low/dead
3,13,21744,21744,1,low/dead
3,13,21781,21884,19,low/dead
3,13,22732,22812,15,low/dead
3,17,21813,21840,2,low/dead
3,17,22050,22052,3,low/dead
3,17,22055,22055,1,low/dead
3,17,22060,22129,50,low/dead
3,17,22736,22812,12,low/dead
3,18,21813,21813,1,outlier
3,18,22050,22052,3,low/dead
3,18,22055,22055,1,low/dead
3,18,22060,22120,44,low/dead
3,18,22125,22127,3,low/dead
3,18,22734,22812,14,low/dead
3,19,22050,22052,3,low/dead
3,19,22055,22055,1,low/dead
3,19,22060,22129,50,low/dead
3,19,22735,22812,14,low/dead
3,23,21563,21654,33,low/dead
3,23,21657,21657,1,low/dead
3,23,21680,21680,1,low/dead
3,23,21682,21682,1,low/dead
3,23,21729,21836,44,low/dead
3,23,23055,23055,1,outlier
3,24,21458,21657,70,low/dead
3,24,21682,21682,1,low/dead
3,24,21729,21836,44,low/dead
3,24,23055,23055,1,outlier
3,25,21552,21562,7,low/dead
3,25,21680,21680,1,low/dead
3,25,21682,21682,1,low/dead
3,25,21729,21836,44,low/dead
3,25,22736,22812,12,low/dead
3,25,23055,23055,1,outlier
3,26,23055,23055,1,outlier
3,27,21884,21884,1,outlier
3,29,22795,22795,1,hot
3,29,23055,23055,1,outlier
3,30,21813,21909,43,low/dead
3,30,22006,22129,93,low/dead
3,30,22795,22795,1,hot
3,30,23055,23055,1,outlier
3,31,21843,21909,38,low/dead
3,31,22795,22812,12,low/dead
3,31,23055,23055,1,outlier
3,34,21813,21843,6,low/dead
3,34,21861,21861,1,low/dead
3,34,21875,21875,1,low/dead
3,34,21877,21877,1,low/dead
3,34,21880,21880,1,low/dead
3,34,21888,21909,14,low/dead
3,35,21782,21909,60,low/dead
3,35,22732,22736,4,low/dead
3,36,22735,22736,2,low/dead
3,37,22734,22736,3,low/dead
3,43,21850,21850,1,hot
3,43,21884,21884,1,outlier
3,43,22795,22812,12,low/dead
3,47,21697,21697,1,outlier
3,48,21494,21909,217,low/dead
3,48,22734,22795,4,hot
3,49,21458,21909,237,low/dead
3,49,22732,22812,16,low/dead
3,50,21563,21909,184,low/dead
3,50,22732,22812,16,low/dead
3,53,21582,21587,4,low/dead
3,56,21430,23061,842,always low
